  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,Resistance,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    34,    P-2391,   2023/01/26 19:02:40,           1-01,      34,         0.156,        -0.055,         3.823,         0.185,         19832,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674778068.12,         0.211,         0.182,         0.510,         0.148,       158.128,        -0.000,        -0.007,         3.773,        94.209,        24.088,         1.029,        59.746,         0.871,        -0.020,       -0.0000,        0.0000,    0,"    
21.67",        42.125,         1,       1,       1,WassenaarRS,       0,       1
    35,    P-2391,   2023/01/26 19:11:41,           1-01,      35,         0.135,        -0.119,         3.689,         0.198,         19601,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674778608.64,         0.221,         0.190,         0.446,         0.158,       160.090,        -0.001,        -0.006,         3.829,        93.219,        23.835,         1.015,        58.846,         0.869,        -0.040,        0.0000,        0.0000,    0,"    
21.73",        41.625,         1,       1,       1,WassenaarRS,       0,       1
    36,    P-2391,   2023/01/26 19:20:40,           1-01,      36,         0.166,        -0.076,         3.889,         0.206,         19791,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674779147.77,         0.213,         0.180,         0.464,         0.152,       166.486,        -0.000,        -0.005,         3.957,        94.031,        24.129,         1.028,        59.307,         0.869,         0.007,       -0.0000,       -0.0000,    0,"    
21.87",        40.812,         1,       1,       1,WassenaarRS,       0,       1
    37,    P-2391,   2023/01/26 19:29:40,           1-01,      37,         0.174,        -0.098,         3.844,         0.226,         19911,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674779687.58,         0.210,         0.175,         0.437,         0.157,       166.732,        -0.000,        -0.006,         3.985,        94.615,        24.051,         1.041,        59.981,         0.870,        -0.014,       -0.0000,        0.0000,    0,"    
21.71",        41.188,         1,       1,       1,WassenaarRS,       0,       1
    38,    P-2391,   2023/01/26 19:38:40,           1-01,      38,         0.150,        -0.067,         3.969,         0.186,         19876,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674780227.28,         0.229,         0.200,         0.442,         0.165,       157.236,        -0.000,        -0.006,         3.753,        94.369,        24.298,         1.031,        59.497,         0.871,        -0.009,        0.0000,        0.0000,    0,"    
21.72",        41.812,         1,       1,       1,WassenaarRS,       0,       1
    39,    P-2391,   2023/01/26 19:47:39,           1-01,      39,         0.169,        -0.072,         3.967,         0.207,         19615,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674780766.44,         0.202,         0.173,         0.457,         0.148,       158.639,         0.000,        -0.006,         3.769,        93.274,        23.837,         1.016,        59.011,         0.869,        -0.056,       -0.0000,        0.0000,    0,"    
21.71",        41.562,         1,       1,       1,WassenaarRS,       0,       1
    40,    P-2391,   2023/01/26 19:56:38,           1-01,      40,         0.135,        -0.104,         3.746,         0.190,         19629,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674781306.04,         0.216,         0.188,         0.451,         0.147,       164.996,        -0.000,        -0.006,         3.947,        93.275,        24.037,         1.012,        58.816,         0.869,        -0.001,        0.0000,       -0.0000,    0,"    
21.69",        40.812,         1,       1,       1,WassenaarRS,       0,       1
    41,    P-2391,   2023/01/26 20:05:38,           1-01,      41,         0.184,        -0.060,         3.923,         0.215,         19849,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674781845.97,         0.237,         0.200,         0.429,         0.171,       164.157,        -0.000,        -0.006,         3.943,        94.302,        24.245,         1.020,        59.174,         0.870,        -0.077,        0.0000,       -0.0000,    0,"    
21.77",        40.875,         1,       1,       1,WassenaarRS,       0,       1
    42,    P-2391,   2023/01/26 20:14:39,           1-01,      42,         0.157,        -0.056,         4.082,         0.187,         19985,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674782386.77,         0.205,         0.187,         0.463,         0.141,       158.682,        -0.001,        -0.006,         3.809,        94.842,        24.247,         1.043,        60.274,         0.870,         0.007,        0.0000,        0.0000,    0,"    
21.79",        41.688,         1,       1,       1,WassenaarRS,       0,       1
    43,    P-2391,   2023/01/26 20:23:39,           1-01,      43,         0.147,        -0.079,         4.121,         0.189,         19623,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674782926.04,         0.213,         0.172,         0.446,         0.155,       156.251,        -0.000,        -0.006,         3.736,        93.249,        23.876,         1.024,        59.159,         0.870,         0.034,        0.0000,        0.0000,    0,"    
21.66",        41.438,         1,       1,       1,WassenaarRS,       0,       1
    44,    P-2391,   2023/01/26 20:32:38,           1-01,      44,         0.175,        -0.093,         3.838,         0.224,         19668,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674783465.84,         0.204,         0.167,         0.486,         0.149,       161.065,         0.000,        -0.007,         3.875,        93.515,        23.940,         1.016,        58.833,         0.869,        -0.059,       -0.0000,       -0.0000,    0,"    
21.73",        40.875,         1,       1,       1,WassenaarRS,       0,       1
    45,    P-2391,   2023/01/26 20:41:38,           1-01,      45,         0.173,        -0.048,         4.010,         0.198,         19828,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674784006.23,         0.216,         0.171,         0.451,         0.161,       154.297,         0.000,        -0.006,         3.687,        94.167,        24.161,         1.027,        59.430,         0.869,        -0.018,       -0.0000,       -0.0000,    0,"    
21.77",        41.500,         1,       1,       1,WassenaarRS,       0,       1
    46,    P-2392,   2023/01/26 20:51:38,           1-02,       1,         0.833,         1.107,         0.569,         0.249,         20801,      -1,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674784604.95,         0.231,         0.188,         0.469,         0.165,       161.022,        -0.000,        -0.006,         3.818,        98.465,        25.231,         1.094,        62.434,         0.871,        -0.002,       -0.0000,       -0.0000,    0,"    
21.73",        41.500,         1,       2,       2,WassenaarRS,       0,       1
    47,    P-2392,   2023/01/26 21:00:38,           1-02,       2,         0.771,         1.020,        -0.183,         0.232,         21154,      -1,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674785145.83,         0.228,         0.172,         0.434,         0.167,       168.306,        -0.000,        -0.004,         3.996,       100.003,        25.563,         1.122,        63.890,         0.870,         0.028,       -0.0000,       -0.0000,    0,"    
21.76",        40.812,         1,       2,       2,WassenaarRS,       0,       1
    48,    P-2392,   2023/01/26 21:09:38,           1-02,       3,         0.824,         1.118,         0.170,         0.234,         20174,      -1,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674785685.92,         0.215,         0.191,         0.458,         0.162,       164.927,        -0.000,        -0.005,         3.940,        95.738,        24.562,         1.047,        60.281,         0.869,        -0.067,        0.0000,       -0.0000,    0,"    
21.79",        40.625,         1,       2,       2,WassenaarRS,       0,       1
    49,    P-2392,   2023/01/26 21:18:38,           1-02,       4,         0.827,         1.146,         0.289,         0.222,         20303,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674786226.21,         0.220,         0.190,         0.412,         0.155,       164.740,         0.000,        -0.005,         3.936,        96.290,        24.651,         1.058,        60.770,         0.870,        -0.064,        0.0000,        0.0000,    0,"    
21.65",        41.250,         1,       2,       2,WassenaarRS,       0,       1
    50,    P-2392,   2023/01/26 21:27:38,           1-02,       5,         0.812,         1.119,         0.331,         0.221,         20193,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674786765.65,         0.211,         0.184,         0.440,         0.156,       159.262,         0.000,        -0.004,         3.779,        95.727,        24.442,         1.066,        61.140,         0.870,         0.033,       -0.0000,        0.0000,    0,"    
21.72",        41.750,         1,       2,       2,WassenaarRS,       0,       1
    51,    P-2392,   2023/01/26 21:36:38,           1-02,       6,         0.793,         1.147,         0.334,         0.188,         20114,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674787305.49,         0.236,         0.202,         0.447,         0.164,       156.344,        -0.001,        -0.006,         3.733,        95.396,        24.564,         1.041,        60.145,         0.870,        -0.067,        0.0000,        0.0000,    0,"    
21.81",        41.250,         1,       2,       2,WassenaarRS,       0,       1
    52,    P-2392,   2023/01/26 21:45:38,           1-02,       7,         0.854,         1.188,         0.414,         0.227,         20081,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674787846.37,         0.202,         0.179,         0.458,         0.145,       163.702,        -0.001,        -0.005,         3.938,        95.270,        24.374,         1.047,        60.414,         0.870,        -0.036,        0.0000,        0.0000,    0,"    
21.72",        40.625,         1,       2,       2,WassenaarRS,       0,       1
    53,    P-2392,   2023/01/26 21:54:38,           1-02,       8,         0.844,         1.172,         0.330,         0.226,         20174,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674788386.23,         0.220,         0.174,         0.436,         0.161,       158.539,        -0.000,        -0.006,         3.790,        95.687,        24.361,         1.058,        60.938,         0.869,         0.003,       -0.0000,        0.0000,    0,"    
21.70",        41.125,         1,       2,       2,WassenaarRS,       0,       1
    54,    P-2392,   2023/01/26 22:03:39,           1-02,       9,         0.844,         1.174,         0.370,         0.224,         20248,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674788926.63,         0.236,         0.179,         0.445,         0.172,       157.565,         0.000,        -0.006,         3.765,        95.975,        24.690,         1.052,        60.743,         0.870,         0.001,        0.0000,       -0.0000,    0,"    
21.76",        41.562,         1,       2,       2,WassenaarRS,       0,       1
    55,    P-2392,   2023/01/26 22:12:40,           1-02,      10,         0.858,         1.182,         0.429,         0.234,         20096,       0,    1,                               SuperBoil,                                T1V2-ID2,                 H2O, 1674789467.75,         0.209,         0.185,         0.433,         0.149,       155.672,         0.000,        -0.005,         3.721,        95.335,        24.450,         1.047,        60.253,         0.870,        -0.004,        0.0000,        0.0000,    0,"    
21.80",        41.000,         1,       2,       2,WassenaarRS,       0,       1
    56,    P-2393,   2023/01/26 22:22:39,           1-03,       1,         1.811,         2.964,         8.502,         0.246,         20691,      -1,    1,                               UltraBoil,                                T1V3-ID2,                 H2O, 1674790066.93,         0.233,         0.191,         0.422,         0.167,       171.004,        -0.001,        -0.006,         4.091,        97.911,        24.967,         1.097,        62.773,         0.869,         0.052,        0.0000,       -0.0000,    0,"    
21.80",        40.562,         1,       3,       2,WassenaarRS,       0,       1
    57,    P-2393,   2023/01/26 22:31:39,           1-03,       2,         1.796,         2.952,         8.663,         0.237,         20818,      -1,    1,                               UltraBoil,                                T1V3-ID2,                 H2O, 1674790606.74,         0.223,         0.181,         0.488,         0.161,       163.765,        -0.000,        -0.006,         3.878,        98.569,        24.953,         1.105,        63.043,         0.870,        -0.031,        0.0000,        0.0000,    0,"    
21.85",        41.312,         1,       3,       2,WassenaarRS,       0,       1
    58,    P-2393,   2023/01/26 22:40:38,           1-03,       3,         1.843,         3.074,         9.481,         0.221,         20335,      -1,    1,                               UltraBoil,                                T1V3-ID2,                 H2O, 1674791145.58,         0.213,         0.169,         0.451,         0.155,       162.173,        -0.001,        -0.006,         3.852,        96.356,        24.708,         1.059,        61.097,         0.870,        -0.022,        0.0000,        0.0000,    0,"    
21.87",        41.875,         1,       3,       1,WassenaarRS,       0,       1
    59,    P-2393,   2023/01/26 22:49:39,           1-03,       4,         1.847,         3.106,         9.619,         0.208,         20213,       0,    1,                               UltraBoil,                                T1V3-ID2,                 H2O, 1674791686.58,         0.229,         0.188,         0.436,         0.163,       152.933,        -0.000,        -0.006,         3.655,        95.819,        24.426,         1.067,        61.204,         0.869,         0.037,       -0.0000,        0.0000,    0,"    
21.86",        41.875,         1,       3,       1,WassenaarRS,       0,       1
    60,    P-2393,   2023/01/26 22:58:39,           1-03,       5,         1.874,         3.114,         9.651,         0.230,         20248,       0,    1,                               UltraBoil,                                T1V3-ID2,                 H2O, 1674792227.71,         0.194,         0.179,         0.409,         0.145,       153.804,         0.000,        -0.004,         3.675,        95.974,        24.476,         1.067,        61.296,         0.870,         0.078,       -0.0000,       -0.0000,    0,"    
21.79",        41.250,         1,       3,       1,WassenaarRS,       0,       1
